fips,NH3_2011,NOX_2011,SO2_2011,VOC_2011,PM25_2011
5017,3347,3275.8,18217,1361.7,26863.7
5019,4449,4328.6,24237,1764.4,31273.69
5021,6646.3,4864.7,27967,2314.3,50184.54
5023,4898.4,4447.7,24047,1700.3,32174.02
5025,4654.7,3628,22015,1323.7,27682.28
5027,5046.6,5380.4,12416,1616.7,34689.1
5029,4381.8,4812.7,25443,2095,37859.2
5031,6145.9,5694,29371,2558.1,56884.29
5033,4421.9,4757.7,25566,1780.9,32876.93
5035,7424.1,8412.7,47275,6707.7,135498.5
5037,6008.4,4749.9,27188,2133.5,42913.32
5039,4566.3,3901.9,22821,1489.5,29538.82
5041,5412.2,3580.3,23377,1517.5,6104.486
5043,4921.1,3690.5,23094,1527.8,32683.04
5045,4521.2,5100.8,27454,2396.8,44301.74
5047,4571.3,4763,26147,1867.2,33982.25
5049,5454.3,4670.1,24028,1714.2,36652.04
5051,4173.1,5726.2,30484,3144.2,60921.97
5053,4437,4206.5,24145,1708.9,36644.18
5055,6468.7,5422.7,28121,2432.6,50361.91
5057,4771.4,5505.8,12163,1667.9,29157.35
5059,4180.4,5234.4,28335,2778.8,53238.27
5061,4222.4,4047.9,21953,1521.2,32829.35
5063,5340.5,4552,24908,1742.1,34366.67
5065,5161,4552.9,23865,1684.2,36344.98
5067,5503.7,4577.7,25429,1837.5,36564.68
5069,4839.8,4316.1,25410,1835.6,36508.18
5071,4127.9,4848.3,24440,1895.1,36730.89
5073,6978.5,5626.4,12606,2015.3,42493.85
5075,5741.4,4509.2,24853,1754.1,33985.84
5077,6126.4,4325.9,26665,2001.1,42878.7
5079,4964.7,4102.1,24772,1904.9,37263.35
5081,4121.4,5466.3,11836,1642.3,32820.6
5083,4017.9,4622.1,23548,1708.5,31823.54
5085,4773.6,4496.2,25511,1885.6,41250.31
5087,4660.4,4771.9,25327,1621,36196.52
5089,5438.7,5072.1,27084,2004.6,44214.42
5091,6398,5499.9,12277,1782,34912.45
5093,7512,4863.7,28656,2393.2,55211.05
5095,5348.9,4018.9,24437,1549.4,34279.61
5097,4041.3,4192,22233,1414.1,27249.75
5099,4770.5,3811.4,21909,1449,26293.73
5101,4943.1,4695.2,25763,1631.2,33359.2
5103,4799.1,3653.3,21739,1365.6,27288.16
5105,4269.6,4620.1,24857,1993.3,42832.19
5107,6020.9,3894.7,24946,1717.5,32135.1
5109,4189.6,4018.1,22066,1450,30632.9
5111,6159.6,5543.5,28726,2391.5,51969.13
5113,3948.9,3968.3,20937,1246.9,23223.69
5115,4295.8,4877.7,25303,1906.6,35838.59
5117,5032.6,4470.6,25761,1901.1,41786.88
5119,4497.7,7300.7,38532,4573.1,74066.2
5121,5950.9,4631.7,25135,1823.7,40980.36
5123,6049.5,4621.3,27109,2052.9,39666.92
5125,4341.1,7671.9,40176,5017.2,89386.13
5127,3924.9,4893.1,25014,1991.8,40547.26
5129,4598.4,4714.3,23738,1716.1,43764.28
5131,3827.1,5022.9,24757,2196.1,35684.72
5133,3569.7,5479.8,11681,1586.7,30151.57
5135,5574.2,4656.7,24772,1791.4,36446.18
5137,4958.4,4463.9,23412,1600,34735.93
5139,5057.1,3836.4,23319,1613.6,29966.42
5141,4584.4,4704.3,24624,1784.8,32191.48
5143,4351.1,6531.8,30289,2799.6,50271.06
5145,5052.5,4745.1,26320,1952.7,36931.58
5147,5383.6,4108.3,23896,1500.8,34963.08
5149,4164.3,4621.5,24427,1738.8,38419.01
6001,2082.3,25339,176560,20993,295373.2
6003,1433.1,3218.1,20300,1847.1,28606.61
6005,1529.6,5251.1,40356,4123.9,13083.71
6007,1172.1,3051,25053,1746.7,14053.73
6009,1735.1,3797.1,31525,2422.2,13730.8
6011,1164.9,4613,36888,2687,34114.05
6013,1858.7,32955,227330,28355,311837.8
6015,549.77,1230.8,9263.8,482.81,6949.552
6017,1363.8,4228,33047,2647.8,18217.19
6019,3556.8,6744.2,58425,3614.6,43220.45
6021,1043.7,3248.2,27146,1664.6,11335.13
6023,366.26,1470.9,10832,494.67,4173.064
6025,3686.8,3780.3,37407,1716.8,32761.95
6027,3909,2025.3,8224.6,707.6,15252.09
6029,57819,3814.7,21209,4449.7,41577.13
6031,6142.3,4961.6,45533,3353.1,59438.84
6033,1110.4,4464.4,36526,2352.2,13456.73
6035,9301.8,3328.5,13778,1232,16699.55
6037,701860,17986,749110,61579,264061.9
6039,2605.4,5044.9,42465,3358,28303.14
6041,1595.6,18655,132190,16022,138989.2
6043,2263.1,3189.6,28549,1964.8,13890.02
6045,916.59,3684.8,31400,1667.5,8702.843
6047,3061.2,6265.6,52303,4131.9,50783.09
6049,1613.6,592.24,5361.4,235.68,4231.549
6051,1451.7,1998.1,7303.7,622.56,8664.195
6053,4916.6,3283.5,34453,2021.6,20835.3
6055,1412.1,11015,81245,8251.2,124913.9
6057,1308.8,7147.2,50500,4818.3,32815.1
6059,45519,32720,276820,27467,110886.2
6061,1323.6,7844.5,55963,4725.3,34133.54
6063,3651.7,4186,14908,1608.9,23151.29
6065,27854,23053,232050,11685,109666.8
6067,1589.1,15936,114380,12093,63447.83
6069,4218.8,5384.8,47851,3472.6,37987.97
6071,33002,5872.1,26873,3764,25528.27
6073,246680,5628.3,266550,20623,200893.6
6075,1841.1,28216,192540,31254,348280.5
6077,1987,17945,130700,11938,123470.9
6079,12092,4293.3,48674,3101,27280.68
6081,2206.2,16658,119570,14910,223267.2
6083,11060,6945.1,73236,4173.5,37913.98
6085,2699.8,28413,204640,19667,306189
6087,2728.9,20606,145170,21377,122508
6089,734.47,1750.2,12967,673.34,4092.935
6091,1419,1882.7,16891,947.93,14985.31
6093,703.4,1387.8,10554,504.61,5989.257
6095,1593.8,19413,137190,15744,218837.3
6097,1326.5,12123,91785,7266.4,67629.95
6099,2323.5,10270,78139,6595.4,66762.91
6101,1310.8,4439.1,35194,2898.2,25039.67
6103,665.33,3374.3,24699,1212.3,9596.058
6105,514.27,2600.2,19178,915.92,14908.83
6107,2540.8,4291.5,13195,2245,23611.83
6109,1734.5,2247.9,20547,1255.5,7537.354
6111,52303,7992.3,92737,7293.7,47005.74
6113,1425.1,11739,85689,8692.3,101252.5
6115,1295.9,5262.6,37335,3459.3,24477.67
8001,114620,15161,22129,6504.5,111043.9
8003,7784.6,3214.4,10562,948.48,16834.49
8005,21081,16265,21836,5814.7,80779.21
8007,6619.1,3716,13270,916.15,17349.42
8009,1989.7,2566.6,14927,575.68,14128.92
8011,3111.6,4343,11786,1028.6,22047.43
8013,40322,9105.7,15774,3554.7,38472.93
8015,18477,3407.9,11006,1160,18965.72
8017,2750.5,4276.5,11484,879.11,20631.71
8019,59138,5659.7,12955,2537.7,25447.87
8021,6762.1,4104.4,13990,1033.9,20924.18
8023,6516.6,3200.5,10592,893.51,19992.28
8025,6254,4204.3,11802,1063.4,23673.46
8027,14497,3406.4,11039,1101.3,23171.81
8029,4241.2,5026.7,15006,1720.6,20356.52
8031,571060,6530.8,16281,12162,144009.5
8033,7254.5,3266.7,12250,996.74,23245.03
8035,364550,6665.8,16932,8577.9,101198.8
8037,18162,3578.8,11114,1184.9,18218.67
8039,43136,8379.5,17445,3602.9,80476.29
8041,66575,4692.7,14696,2879,35617.88
8043,35915,3786.3,11755,1656.2,29105.1
8045,9630.5,3919.7,13092,1015.8,7967.042
8047,59632,6386.1,13447,3117.9,39558.4
8049,30718,6063.9,13297,2147.1,39276.5
8051,8271,4132.9,13663,1094.8,16852.28
8053,4419.8,3645.4,12916,859.6,17807.17
8055,25595,3365.8,12252,1605.2,34176.79
8057,14399,3685.4,10776,1031.6,10321.9
8059,390040,5299.3,15680,8595.2,74180.91
8061,2858.3,4175,11476,902.35,22594.41
8063,2880.3,4237.1,11499,838.57,19263.79
8065,18989,3639.2,11128,1192.4,21755.82
8067,7632.5,3406.7,12886,1011.6,12248.57
8069,39678,6194.5,13469,2163.1,26723.1
8071,8433.9,3568.6,11564,996.47,24376.46
8073,6032.1,4277.4,11537,982.41,25536.38
8075,3285.6,4726,11811,953.22,21637.35
8077,5748.8,4203,13656,1185.9,13683.74
8079,4692.8,3686.5,13009,860.49,9528.175
8081,4532.6,3668.3,12055,757.16,16977.5
8083,7100.5,3192.7,12297,961.11,15697.65
8085,6461.9,4195.4,13754,1345.6,23811.35
8087,6549.7,7643,14342,1999.9,42518.32
8089,4779.1,4026.1,11627,959.36,19089.51
8091,6478.8,3615,12811,957.52,20234.17
8093,107670,4024.1,12747,3077.9,68228.2
8095,2269.4,3108.4,7409.3,735.39,16265.44
8097,10329,3998.7,13206,1023.2,9554.485
8099,1930.3,2579.6,14755,596.25,12998.68
8101,43883,3844.3,14346,2412,42780.07
8103,6697,3679,12486,879.14,19508.74
8105,4762.6,3876.9,13294,914.03,14558.57
8107,7871.8,4154.3,13025,911.28,21647.3
8109,13372,3281.6,10767,1040.9,22003.69
8111,4628.7,3512,12666,839.38,8917.784
8113,9293,3355.9,12417,1062.6,19283.83
8115,2287.7,3162.5,7463.1,773.56,17043.03
8117,32533,4279.7,11742,1592,17701.16
8119,60375,4911.1,13192,2485.3,41517.55
8121,4468,4949.6,12046,1052.6,26147.31
8123,8712.6,13045,19533,2949,57986.2
8125,2298.1,3243.1,7470.4,780.1,15218.44
9001,278840,532.91,61322,14732,82457.59
9003,217690,916.41,51621,11866,75478.5
9005,225610,883.23,57873,12202,96123.94
9007,80003,459.32,26754,5012.8,36702.23
9009,162810,556.01,43517,9267.9,37976.9
9011,116500,958.31,43936,8234.9,60727.36
9013,93032,490.26,27114,5357,52392.73
9015,94559,685.03,37529,6615.9,55414.81
10001,55707,2565.2,42895,5769.4,78704.16
10003,98027,4929.1,64203,11794,111953.1
10005,34826,3631.2,51145,5511,81300.14
11001,789820,4009.8,149770,41637,246732.8
12001,23193,2708.8,26021,3037.4,35166.54
12003,27656,1744,20424,2273.2,36135.26
12005,24135,1534,17585,1820,19700.46
12007,24700,2100.4,21651,2712.3,41439.53
12009,124330,1314.6,44620,6840.2,42475.6
12011,289240,922.13,73740,14596,86298.83
12013,12753,2016.1,15233,1478.1,25888.77
12015,137880,4636.9,63108,11074,142864.9
12017,59327,3178.1,35980,5595.9,92019.48
12019,80015,1495,27447,4572.4,67123.15
12021,72179,924.47,26614,4054.6,46746.28
12023,15718,2563.4,22796,2400.6,37102.14
12025,185310,725.76,48906,9475.8,67244.53
12027,20492,5826.7,48296,6315.2,104438.1
12029,11109,1330.2,14732,1254.3,20077.31
12031,122680,1659.2,37291,6680.8,46776.39
12033,103260,1677,31182,5391,71166.55
12035,52475,1239.7,21660,3066.9,37686.76
12037,9510,1284.2,13588,945.78,13669.63
12039,34654,2048.2,21458,2837.8,39890.01
12041,13510,1801.7,18702,1736.9,29922.23
12043,21937,2545.9,25004,3388.1,36811.14
12045,8511.3,1317.8,13855,1006.8,16608.81
12047,10335,2044.9,19114,1734.2,12684.73
12049,27703,4117,39164,4598.6,60344.92
12051,68627,1277.8,27082,4197.9,41126.55
12053,29342,9424.3,66672,11967,185753.8
12055,24234,3272.4,31124,3703.1,49963.57
12057,139430,11689,109830,16522,132690.9
12059,10442,2064.9,18136,1722.4,32823.48
12061,54815,1802,24606,3877.4,32639.77
12063,9991.5,2777.6,20341,1998,38133.54
12065,9748.1,1587.6,15315,1289.7,22427.73
12067,10409,2012.9,19071,1709.2,30091.52
12069,269730,3606.3,89438,15536,212854.6
12071,124420,3109.1,51422,8784.5,89897.32
12073,30817,1876,19998,2407.8,33682.71
12075,18332,1529.9,18155,1671.1,30288.98
12077,12307,2179.2,16174,1537.4,20307.45
12079,9410.3,1893.4,18411,1423.1,26498.02
12081,29991,9374,73600,10708,75230.99
12083,104400,2987.5,50859,6812.4,85293.84
12085,44462,3677.6,38068,6425.7,53463.84
12087,15436,550.47,8960.2,1152,7790.888
12089,118150,1575.7,34386,6375.7,88967.1
12091,34945,1589.5,19916,2244.9,28911.7
12093,28031,2629.8,27660,3636.8,52015.8
12095,211120,2154.9,64190,11336,70974.88
12097,105150,2535,46758,6670.1,66308.07
12099,158030,1492.9,49119,8751.4,45320.57
12101,38241,7131.1,56157,8466.7,109018.3
12103,424350,2390.6,90595,22185,103694.6
12105,66092,3023.4,38542,5241.1,46334.6
12107,63767,1549.5,25105,3786.7,56509.07
12109,70411,1311.6,24806,3935,43274.67
12111,26112,3674.8,33629,5431.5,46915.12
12113,48000,1613.3,22885,2881.7,47121.38
12115,18378,9390.5,70562,11311,94236.96
12117,434170,2460.9,93069,21946,182250.7
12119,36377,5554.1,46928,7147.6,76568.75
12121,10329,2496.2,21326,2150.5,29530.85
12123,10399,1319.7,14138,1081.2,12405.99
12125,22178,2133.2,21814,2589.7,44200.78
12127,248510,1914.5,77873,13109,141422.5
12129,33147,1610.1,18373,2249.2,34512.04
12131,24767,1720.4,19616,1929.8,29146.79
12133,11995,1811.8,16418,1452.1,25940.4
13001,8307.4,2109,19412,1555.3,23163.13
13003,8077.6,1934.2,18224,1328.5,14346.94
13005,8341.1,2147.7,19656,1662.8,22323
13007,8082,2034.9,17867,1505.1,27052.32
13009,23514,2425.1,24527,2347.8,42628.2
13011,19452,4045.3,35390,3759,71478.42
13013,32076,5098.3,43979,6452.4,126414.7
13015,45475,4989.3,47866,6029.3,116029.6
13017,7240.8,2674.8,21638,1913.6,27810.13
13019,7628,2589,21989,2087.4,26192.57
13021,11926,4194.5,33878,4346.9,68805.15
13023,10898,2763.2,22996,2093.2,36645.39
13025,15859,1632,17576,1525.9,23787.61
13027,8651.2,2416.1,21611,2087.3,31546.12
13029,68862,1730.6,26721,4141.1,69726.26
13031,14722,2356.6,22812,2050.3,37663.3
13033,8721.4,3533,30490,2850,45818.79
13035,24846,3168.1,30266,3128.9,59211.86
13037,8112.7,2016,17511,1373.7,22105.96
13039,29669,1340.4,18534,1932.7,30405.63
13043,9220.6,2216.1,20402,1588.7,19373.02
13045,38915,4498.2,42553,5289.7,109098
13047,10637,6995.8,50546,7436.6,119687.9
13049,32028,1683.2,20848,2284.3,23720
13051,56551,1455.8,24263,3468.1,42399.32
13053,65679,2356.5,28969,4110.5,50466.64
13055,17550,5107.3,41390,4563.9,73860.98
13057,58474,5781.2,56987,7848.1,154811.9
13059,18032,4845,38993,5079.6,66375.51
13061,8487.1,2108.9,17884,1390.1,23720.13
13063,168220,3171.1,48691,9721.4,89338.12
13065,15595,1727.3,18042,1491,15081.87
13067,366200,4387.4,87887,21017,285306.7
13069,7368.8,2702.9,21499,1962.6,27810.01
13071,7823.7,2489.6,21519,1864.9,34886.2
13073,8316.1,5427.5,42357,5571.3,91870.45
13075,7679.5,2539.1,21503,2081.5,32111.04
13077,81640,2829.2,37899,5332.3,99404.27
13079,11276,4015.2,32189,3930.4,56623.62
13081,7561.7,2596.9,22100,1843.2,34687.33
13083,12874,4899.6,41491,4610.9,70801.08
13085,20959,5330,43621,4971.8,97866.69
13087,10737,2282,20101,1974.5,27895.31
13089,394380,8053.7,118950,27489,350591.3
13091,17309,2912.7,23975,2451.7,34880.03
13093,8445,2739.6,23121,2083.3,41106.3
13095,6895.7,2868.2,23580,2304.4,30750.16
13097,75858,4030,44460,6809.5,128664.8
13099,8052,2102.9,17921,1468.5,25321.57
13101,11619,1751.8,17391,1401.3,11284.74
13103,22923,1744.8,21641,2077.9,36378.23
13105,12666,3701.9,31439,3055.5,55069.49
13107,14254,2296.8,21729,1726.6,26075.85
13109,10755,2356.4,21687,2129.5,32457.42
13111,14106,5011.6,37108,4132,71396.21
13113,138360,2947.9,44812,8110.4,157676.1
13115,21222,5283.5,43232,4974.9,92652.77
13117,51048,6033.5,55100,8139.7,144054.9
13119,16530,4861.6,39171,4517,84073.26
13121,348120,7379.3,116150,23853,339035.7
13123,16249,5271.9,40159,4342.6,79331.55
13125,8886.5,2672.7,24345,1905.7,24354.69
13127,32357,1377.6,18744,2074.9,33419.96
13129,19124,5245.5,42725,4979.4,86786.98
13131,10051,2084.4,18615,1833.4,26236.71
13133,12037,3430.7,29758,2819.2,45908.58
13135,171630,8633.6,87891,17231,180560.1
13137,17348,5295.4,40739,4737.1,93564.79
13139,26318,6903.3,55054,7872.7,144904.3
13141,18696,2938,27145,2556.4,34988.82
13143,33332,4671,42652,5432.6,97670.05
13145,61563,2302.5,30089,3938,64975.75
13147,15729,3855.7,33453,3394.6,64749.83
13149,28625,3315,32625,3585.6,65411.35
13151,131510,4077.7,51454,9016.9,160522.2
13153,9414.8,3571,28379,3268.3,54753.24
13155,7156.1,2699.5,22108,2109.1,37645.86
13157,25155,5389.6,44582,6141.8,115598.7
13159,17423,3850.3,32544,3618.4,47830.33
13161,7602.9,2142.8,19345,1461.7,20237.39
13163,9025.8,2699.8,24588,1986,33279.27
13165,9172.1,2390.5,21539,1709.1,15249.09
13167,14448,2135,21399,1635.7,19460.43
13169,13516,4083.3,33646,4114.7,51787.63
13171,20503,3226.9,30097,3151.2,50104.27
13173,8769.6,2046.6,19154,1632.2,21833.02
13175,18301,2628.2,23273,2079,27939.51
13177,7241,3022,24502,2570,39430.68
13179,30568,1644.9,20526,2218.9,30799.83
13181,8893.7,3765.8,30016,2774.4,40341.78
13183,21032,1877.2,20593,2070.5,35008.04
13185,8655.3,2342.1,21118,2014.9,33619.65
13187,19535,4971.8,41200,4594.7,96834.93
13189,8535.1,4166.1,33757,3955.8,66128.77
13191,31892,1438.4,18984,2093.7,32326.74
13193,9345.9,3058.6,25503,2464.9,41842.21
13195,15808,4117.1,34814,3616.5,71827.26
13197,12214,2571.6,22477,1825.2,21530.07
13199,31549,3118.8,31957,3470.9,49593.45
13201,8328.7,2129.1,18102,1570,30272.96
13205,7212.9,2840.3,23638,2228.3,32665.8
13207,15699,3606.1,31211,3380.7,48268.7
13209,8367.7,2614.4,22446,2066,32591.64
13211,17407,4250.9,35964,4292.9,66539.37
13213,11987,4905.4,37983,4214.4,84760.73
13215,73129,2382.1,29628,4454,52925.69
13217,48275,4821.3,42829,6048.5,118357.2
13219,18935,4509.1,37049,4713.7,83439.7
13221,11866,3715,31481,3018.8,55718.51
13223,72975,4885.9,48137,7295.3,143536.1
13225,10255,4583,34504,5105.1,84929.9
13227,23730,4567.5,40247,4428.9,86676.16
13229,13521,1845.2,18464,1667.4,23846.47
13231,44674,3043.4,32278,4014.4,69850.32
13233,36300,5014.8,45222,5650.8,103518
13235,9476.5,2725.5,22439,1954.2,38455.21
13237,13715,3066.2,27519,2583.4,35562.68
13239,11088,1980.1,18468,1411.4,10685.64
13241,20020,5062.7,39981,4932.1,83789.15
13243,9498.5,2210.2,18818,1577.2,25161.75
13245,8093.8,4707.7,37765,4762.7,73715.27
13247,77771,3749.6,39638,6070.9,103213.5
13249,9868,2495.6,22376,1735.8,26632.91
13251,11447,2108,22498,1745.7,22508.95
13253,8682.3,1950.3,17039,1477.1,23698.32
13255,57079,3048.8,34636,4511,82756.67
13257,17698,4297.4,36461,3834.1,70211.17
13259,14409,2122.9,19463,1553.5,17666.07
13261,8303.4,2845.7,23318,2035.8,36903.54
13263,17378,2804.4,25889,2493.5,22873.74
13265,9681,2954.8,26165,2040.6,17386.54
13267,10227,2280.5,21184,1849.5,26384.56
13269,11627,2965.5,25416,2373.7,30641.16
13271,7686.9,2701.8,21580,1907.7,21720.92
13273,7624.9,2436.3,20823,1598.4,22263.41
13275,10357,2509.4,22299,2119.2,15687.33
13277,7183.3,2627.5,22082,2033.8,34498.88
13279,8190.1,2294.1,20512,1683.4,25631.47
13281,23730,4015.9,34650,3621.3,62139.14
13283,13405,2129.6,20071,1532.8,13653.07
13285,40506,3055.1,32374,3721.1,70042.41
13287,7098.7,2625.3,21897,1916.5,27961.41
13289,16101,3762.6,30976,3952.5,50982.93
13291,15093,5078.9,39866,4484,82786.79
13293,16777,3026.6,27636,2698,36829.17
13295,13115,4808.1,41072,4617,85633.95
13297,29751,5291.2,43563,6006.9,118586.6
13299,18508,1742.2,18679,1633.1,22057.15
13301,8766.2,3149.5,27101,2391,30936.33
13303,11341,2757.5,24641,2022.4,23190.75
13305,11826,1913.3,19146,1609.1,25191.83
13307,9708.6,2381.8,20847,1511.3,18148.35
13309,8159.1,2501.8,21640,1810.8,26898.39
13311,16883,5174.3,39808,4515.3,84364.6
13313,11913,5802.3,43595,5078.1,88897.91
13315,7759.8,2583.6,21520,1845.4,29698.79
13317,9750.6,3430.2,29152,2496,36749.34
13319,24618,2261.9,23658,2249.1,25010.14
13321,6970.1,3349,26600,2789.8,37944.78
16001,1543.3,6067.4,19038,3571.3,38878.64
16003,1464.8,3035.5,11689,816.41,18769.6
16005,1001.6,2723.5,9797.1,949.32,17682.49
16007,1290.9,2483.1,9230.3,675.69,14892.46
16009,750.83,1783.6,5615.7,731.51,16003.2
16011,995.98,2837.3,10184,984.79,24048.12
16013,1681,3342.7,12453,875.63,18272.17
16015,1504.9,2969.6,11721,786.34,18481.19
16017,1398.7,1578.9,5189.4,628.6,13360.76
16019,1911.3,4729.3,17411,1388.2,27028.53
16021,1604.4,1389.5,4717.8,538.99,11671.79
16023,1807.4,3125.1,11884,695.75,17991.41
16025,1510.1,2885.7,11429,683.55,17609.82
16027,1543.3,4102.9,14387,2296.2,37444.29
16029,1163.5,2682.2,9676.9,882.05,18126.4
16031,886.75,2602.7,9801.4,813.6,19872
16033,2057.8,3309.7,12227,767.28,13909.59
16035,920.84,1562.1,5267.3,411.83,8316.665
16037,1718.3,2900.7,11391,664.58,14440.81
16039,1529.7,4061.5,14426,1516.8,29933.86
16041,1135.4,2571,9348.3,815.81,19172.28
16043,1927.9,3981,15413,898.38,22481.41
16045,1492.9,3037.4,11925,934.24,22306.48
16047,1539.9,3234.4,12225,982.75,23409.38
16049,890.64,1828.8,5975.4,476.1,10502.93
16051,1695,4153.1,15923,1076.8,25911.01
16053,1579.2,3795.6,13354,1627.7,38495.54
16055,829.67,3727.2,10110,2556.8,45947.77
16057,706.57,1849.8,5856,650.01,13786.02
16059,1880.1,3139.4,11971,675.42,14918.83
16061,711.57,1833.1,5904.4,766.91,19636.64
16063,1568.2,3379.6,12392,1041.3,24726.62
16065,2030.3,4077.6,15789,1057,24020.63
16067,1727.2,3360,12405,948.87,22642.14
16069,673.9,1925.2,6129.1,770.15,14422.2
16071,971.9,2763.1,9855.6,931.96,21677.7
16073,1590.6,3403.9,13065,1029.7,26328.03
16075,1518.4,3228.2,12496,1224,26403.81
16077,928.88,2671.1,9714.7,854.02,18976.96
16079,1272.2,1762.8,5738.2,679.21,12135.64
16081,2834.1,4022.2,15707,958.92,23519.25
16083,1586.1,3238.2,12160,994.36,21508.14
16085,1529.7,2944,11442,706.83,15686.44
16087,1488.1,3368.5,12542,1083.9,24848.59
17001,8386,6792.5,30873,2475.5,53138.47
17003,8104.2,4642.6,27223,2504.2,44488.75
17005,9919.5,5881.6,30856,2389.5,52890.36
17007,43052,8726.9,37959,4741,95567.77
17009,10214,5782.9,28613,2188.2,50028.89
